request_id,request_date,barangay_name,service_category,channel,priority,status,resolution_hours_synth,citizen_satisfaction_1_5_synth,repeat_request_synth,remarks_synth
SR-0251,2026-03-08,San Salvador,Permits/Inquiry,Barangay Referral,High,In Progress,3.0,,No,Forwarded to concerned office
SR-0252,2026-02-09,Inosloban,Road/Drainage,Barangay Referral,High,Pending Validation,17.6,,No,Citizen follow-up received
SR-0253,2026-01-08,Banaybanay,Road/Drainage,Web Form,High,In Progress,10.0,,Yes,Requires site validation
SR-0254,2026-08-25,Antipolo Del Norte,Solid Waste,Barangay Referral,High,Closed,7.0,3,No,Citizen follow-up received
SR-0255,2026-08-22,Lodlod,Solid Waste,Web Form,Low,Closed,35.2,5,No,Requires site validation
SR-0256,2026-06-26,Poblacion Barangay 7,Peace and Order,Mobile App,High,In Progress,9.6,,No,Citizen follow-up received
SR-0257,2026-07-05,Bulacnin,Permits/Inquiry,Hotline,Urgent,Pending Validation,10.4,,No,Citizen follow-up received
SR-0258,2026-05-10,San Carlos,Peace and Order,Barangay Referral,Urgent,Closed,8.7,3,No,Citizen follow-up received
SR-0259,2026-08-01,San Francisco,Disaster Concern,Mobile App,Normal,Closed,8.3,5,No,Requires site validation
SR-0260,2026-06-25,Mabini,Streetlight,Mobile App,Normal,Closed,47.3,5,No,Requires site validation
SR-0261,2026-01-03,Bulacnin,Water,Walk-in,Normal,Closed,36.5,4,No,Citizen follow-up received
SR-0262,2026-08-13,Marauoy,Streetlight,Mobile App,High,Closed,12.2,4,Yes,Forwarded to concerned office
SR-0263,2026-03-22,Sampaguita,Water,Mobile App,High,Closed,14.1,3,No,Requires site validation
SR-0264,2026-05-14,Poblacion Barangay 1,Water,Web Form,Urgent,Closed,17.3,4,Yes,Forwarded to concerned office
SR-0265,2026-03-05,Mataas Na Lupa,Road/Drainage,Barangay Referral,Low,Closed,21.8,4,No,Requires site validation
SR-0266,2026-04-22,Inosloban,Disaster Concern,Walk-in,Normal,Closed,26.4,4,Yes,Requires site validation
SR-0267,2026-02-12,Tambo,Streetlight,Hotline,Normal,Closed,42.8,4,No,Citizen follow-up received
SR-0268,2026-03-08,Mataas Na Lupa,Disaster Concern,Mobile App,Urgent,Closed,3.2,3,No,Forwarded to concerned office
SR-0269,2026-04-24,Sapac,Health,Barangay Referral,High,Closed,6.0,5,No,Forwarded to concerned office
SR-0270,2026-09-09,Sampaguita,Streetlight,Walk-in,Normal,Closed,16.9,3,No,Forwarded to concerned office
SR-0271,2026-06-30,Bulaklakan,Peace and Order,Barangay Referral,Low,Closed,12.5,4,No,
SR-0272,2026-02-13,Lumbang,Permits/Inquiry,Mobile App,Low,In Progress,12.3,,No,
SR-0273,2026-06-27,Latag,Health,Walk-in,Normal,Closed,46.0,4,No,Forwarded to concerned office
SR-0274,2026-03-16,Sapac,Disaster Concern,Walk-in,Normal,Closed,22.8,4,No,
SR-0275,2026-05-23,Balintawak,Health,Barangay Referral,Normal,Closed,8.0,4,Yes,
SR-0276,2026-08-06,San Sebastian,Health,Walk-in,Normal,In Progress,7.4,,Yes,Forwarded to concerned office
SR-0277,2026-03-07,Mataas Na Lupa,Road/Drainage,Walk-in,Normal,Closed,32.5,5,No,Citizen follow-up received
SR-0278,2026-02-21,Banaybanay,Peace and Order,Walk-in,High,Closed,16.0,4,No,Requires site validation
SR-0279,2026-03-16,Poblacion Barangay 7,Streetlight,Barangay Referral,High,Closed,4.1,3,No,Citizen follow-up received
SR-0280,2026-04-18,Santo Toribio,Water,Web Form,Normal,Closed,31.1,4,Yes,Requires site validation
SR-0281,2026-01-18,Latag,Solid Waste,Walk-in,Normal,Closed,21.5,5,No,Requires site validation
SR-0282,2026-08-23,Bulacnin,Water,Mobile App,Normal,Closed,23.1,3,No,Requires site validation
SR-0283,2026-08-05,Lumbang,Health,Hotline,Normal,Closed,14.9,4,No,Forwarded to concerned office
SR-0284,2026-04-25,Antipolo Del Sur,Solid Waste,Hotline,Normal,Closed,24.6,5,No,Requires site validation
SR-0285,2026-06-24,Tibig,Water,Mobile App,High,Closed,14.7,5,No,Requires site validation
SR-0286,2026-09-03,Sabang,Solid Waste,Web Form,Normal,Closed,21.4,4,No,Requires site validation
SR-0287,2026-06-12,Tibig,Permits/Inquiry,Web Form,Normal,Closed,61.2,3,No,
SR-0288,2026-01-22,Mataas Na Lupa,Solid Waste,Walk-in,Normal,Closed,3.0,4,Yes,
SR-0289,2026-03-07,Inosloban,Streetlight,Mobile App,High,Closed,12.6,4,No,
SR-0290,2026-04-22,Balintawak,Disaster Concern,Barangay Referral,Normal,Closed,5.4,5,No,Forwarded to concerned office
SR-0291,2026-02-12,Barangay 12,Streetlight,Web Form,Normal,In Progress,29.3,,No,Requires site validation
SR-0292,2026-03-02,San Carlos,Peace and Order,Web Form,High,In Progress,9.7,,No,Forwarded to concerned office
SR-0293,2026-03-06,Sabang,Solid Waste,Hotline,Urgent,Pending Validation,9.6,,No,Forwarded to concerned office
SR-0294,2026-08-28,Inosloban,Permits/Inquiry,Hotline,Normal,Closed,21.0,3,No,Citizen follow-up received
SR-0295,2026-07-24,Latag,Permits/Inquiry,Mobile App,Normal,Closed,45.6,4,No,
SR-0296,2026-06-04,Pinagkawitan,Streetlight,Web Form,Normal,Pending Validation,26.6,,No,
SR-0297,2026-01-12,Marauoy,Road/Drainage,Walk-in,Normal,Closed,48.8,5,Yes,Requires site validation
SR-0298,2026-02-21,Bolbok,Permits/Inquiry,Mobile App,High,Closed,10.0,3,Yes,
SR-0299,2026-03-12,Kayumanggi,Health,Walk-in,High,Closed,11.4,4,No,Forwarded to concerned office
SR-0300,2026-02-04,San Lucas,Solid Waste,Barangay Referral,Normal,Closed,42.1,4,No,Citizen follow-up received
SR-0301,2026-05-14,Poblacion Barangay 7,Solid Waste,Walk-in,Normal,Closed,23.3,4,No,
SR-0302,2026-06-25,Kayumanggi,Disaster Concern,Barangay Referral,Normal,Closed,17.6,4,No,Forwarded to concerned office
SR-0303,2026-01-25,Bugtong na Pulo,Disaster Concern,Mobile App,Normal,Closed,32.1,4,No,Requires site validation
SR-0304,2026-05-17,San Francisco,Road/Drainage,Web Form,Low,Closed,25.4,3,No,Requires site validation
SR-0305,2026-05-20,Tambo,Water,Barangay Referral,Normal,Closed,49.3,5,No,
SR-0306,2026-03-06,Inosloban,Solid Waste,Web Form,Normal,Closed,13.9,4,Yes,Forwarded to concerned office
SR-0307,2026-09-16,Tambo,Water,Walk-in,Normal,Closed,13.4,4,No,
SR-0308,2026-02-12,Sabang,Solid Waste,Web Form,Normal,In Progress,22.7,,No,Forwarded to concerned office
SR-0309,2026-01-03,Pinagkawitan,Road/Drainage,Barangay Referral,Low,Closed,29.3,5,No,Forwarded to concerned office
SR-0310,2026-07-26,San Lucas,Health,Hotline,Urgent,Closed,9.8,5,No,Forwarded to concerned office
SR-0311,2026-04-06,Sabang,Peace and Order,Hotline,Normal,Closed,13.2,3,No,
SR-0312,2026-02-19,Sabang,Permits/Inquiry,Hotline,Normal,Closed,6.0,4,No,Requires site validation
SR-0313,2026-02-12,Tipacan,Streetlight,Walk-in,High,In Progress,8.8,,No,Citizen follow-up received
SR-0314,2026-03-27,Tangob,Streetlight,Web Form,Normal,Closed,43.6,4,Yes,
SR-0315,2026-09-06,San Lucas,Streetlight,Barangay Referral,Normal,Closed,8.5,3,Yes,Requires site validation
SR-0316,2026-06-21,Sabang,Water,Web Form,Normal,Closed,26.6,4,No,Citizen follow-up received
SR-0317,2026-01-10,Lodlod,Solid Waste,Hotline,Urgent,Closed,10.0,5,No,
SR-0318,2026-03-29,Santo Toribio,Peace and Order,Walk-in,Normal,In Progress,21.5,,No,
SR-0319,2026-04-05,Marauoy,Disaster Concern,Barangay Referral,High,Closed,11.5,5,No,Forwarded to concerned office
SR-0320,2026-05-31,Poblacion Barangay 3,Water,Mobile App,Normal,In Progress,43.5,,No,Citizen follow-up received
SR-0321,2026-03-14,San Carlos,Road/Drainage,Mobile App,Normal,In Progress,44.0,,No,Forwarded to concerned office
SR-0322,2026-03-05,Dagatan,Water,Web Form,High,Closed,15.4,5,No,Requires site validation
SR-0323,2026-02-20,Sabang,Health,Barangay Referral,Normal,Closed,27.2,4,No,Requires site validation
SR-0324,2026-06-15,Latag,Solid Waste,Barangay Referral,Normal,Closed,20.5,5,No,
SR-0325,2026-06-01,Inosloban,Disaster Concern,Walk-in,Normal,Pending Validation,10.2,,Yes,Forwarded to concerned office
SR-0326,2026-05-19,Marauoy,Water,Hotline,High,Closed,14.9,4,Yes,
SR-0327,2026-04-29,Kayumanggi,Disaster Concern,Walk-in,High,Closed,4.7,4,No,
SR-0328,2026-06-25,Inosloban,Disaster Concern,Web Form,Normal,In Progress,41.7,,No,Requires site validation
SR-0329,2026-04-16,San Celestino,Disaster Concern,Walk-in,Urgent,Closed,12.2,4,No,Requires site validation
SR-0330,2026-01-01,Pinagkawitan,Peace and Order,Hotline,Normal,Closed,33.7,5,No,Requires site validation
SR-0331,2026-03-11,Lodlod,Streetlight,Barangay Referral,Normal,Closed,21.9,5,No,Requires site validation
SR-0332,2026-01-04,Lodlod,Disaster Concern,Web Form,Normal,Closed,29.9,4,No,Requires site validation
SR-0333,2026-05-25,Tambo,Road/Drainage,Web Form,High,In Progress,9.7,,Yes,Forwarded to concerned office
SR-0334,2026-02-28,Sabang,Peace and Order,Walk-in,Normal,Closed,11.9,4,Yes,Requires site validation
SR-0335,2026-08-18,Anilao,Peace and Order,Mobile App,Low,Closed,4.6,3,No,Requires site validation
SR-0336,2026-04-05,Poblacion Barangay 1,Streetlight,Web Form,Normal,In Progress,34.1,,No,Forwarded to concerned office
SR-0337,2026-04-09,Sico,Water,Web Form,Urgent,Closed,4.4,4,No,Forwarded to concerned office
SR-0338,2026-07-11,Pagolingin West,Solid Waste,Barangay Referral,Normal,Closed,26.9,4,Yes,Forwarded to concerned office
SR-0339,2026-04-27,Santo Toribio,Disaster Concern,Hotline,Normal,Closed,33.3,5,No,Citizen follow-up received
SR-0340,2026-01-16,San Salvador,Road/Drainage,Web Form,Normal,Closed,35.8,5,No,Citizen follow-up received
SR-0341,2026-01-17,Tangob,Streetlight,Walk-in,Low,Closed,10.1,5,Yes,Citizen follow-up received
SR-0342,2026-01-31,Munting Pulo,Health,Web Form,Normal,Closed,18.6,4,No,Forwarded to concerned office
SR-0343,2026-07-28,Sico,Road/Drainage,Walk-in,Normal,Closed,7.7,4,No,Forwarded to concerned office
SR-0344,2026-05-16,Latag,Permits/Inquiry,Barangay Referral,Normal,Closed,30.8,5,No,Requires site validation
SR-0345,2026-06-29,Plaridel,Permits/Inquiry,Barangay Referral,Normal,Pending Validation,36.5,,No,Requires site validation
SR-0346,2026-07-21,San Carlos,Water,Hotline,High,Closed,13.0,3,No,Citizen follow-up received
SR-0347,2026-03-12,Pagolingin East,Permits/Inquiry,Mobile App,Normal,In Progress,46.6,,No,Citizen follow-up received
SR-0348,2026-03-23,Tambo,Road/Drainage,Walk-in,Normal,Closed,39.7,3,No,
SR-0349,2026-08-14,Tibig,Disaster Concern,Barangay Referral,Normal,Closed,60.8,3,No,
SR-0350,2026-06-25,San Lucas,Peace and Order,Hotline,Normal,Closed,12.5,5,No,
SR-0351,2026-06-01,Mabini,Health,Barangay Referral,High,Pending Validation,9.6,,No,Requires site validation
SR-0352,2026-03-18,Sabang,Water,Mobile App,Normal,Closed,19.5,4,No,Requires site validation
SR-0353,2026-04-10,Malitlit,Disaster Concern,Web Form,Normal,In Progress,51.6,,No,Citizen follow-up received
SR-0354,2026-06-12,San Celestino,Solid Waste,Hotline,High,Closed,3.4,4,No,Requires site validation
SR-0355,2026-03-04,Lodlod,Peace and Order,Walk-in,Low,Closed,32.8,4,Yes,
SR-0356,2026-05-21,Inosloban,Water,Web Form,Urgent,In Progress,16.6,,Yes,Requires site validation
SR-0357,2026-01-09,San Celestino,Solid Waste,Web Form,High,Closed,3.8,3,No,
SR-0358,2026-05-23,Inosloban,Permits/Inquiry,Hotline,Low,Closed,8.1,4,No,Citizen follow-up received
SR-0359,2026-04-14,Duhatan,Solid Waste,Walk-in,High,Closed,16.4,4,No,
SR-0360,2026-01-18,Antipolo Del Sur,Road/Drainage,Web Form,Normal,Closed,19.6,3,No,Forwarded to concerned office
SR-0361,2026-07-01,Mabini,Health,Hotline,Low,Closed,15.8,4,Yes,Forwarded to concerned office
SR-0362,2026-03-20,Bolbok,Water,Web Form,Low,Closed,9.0,4,No,Requires site validation
SR-0363,2026-08-22,Antipolo Del Sur,Streetlight,Barangay Referral,Normal,In Progress,7.1,,No,Citizen follow-up received
SR-0364,2026-01-08,Bugtong na Pulo,Health,Hotline,High,In Progress,14.7,,Yes,
SR-0365,2026-04-15,Lumbang,Peace and Order,Barangay Referral,Normal,Closed,24.3,4,No,Citizen follow-up received
SR-0366,2026-03-03,Balintawak,Water,Hotline,High,Closed,13.4,4,No,Citizen follow-up received
SR-0367,2026-06-14,Sabang,Road/Drainage,Mobile App,High,Closed,2.4,4,No,
SR-0368,2026-06-08,Inosloban,Disaster Concern,Web Form,Low,Closed,17.4,4,No,Citizen follow-up received
SR-0369,2026-02-20,Sampaguita,Water,Barangay Referral,Low,Closed,17.3,3,Yes,Requires site validation
SR-0370,2026-05-15,Antipolo Del Norte,Health,Barangay Referral,Normal,Closed,10.2,4,Yes,Requires site validation
SR-0371,2026-04-11,Sampaguita,Solid Waste,Barangay Referral,High,Closed,7.6,4,No,Requires site validation
SR-0372,2026-06-05,San Salvador,Road/Drainage,Walk-in,Urgent,Closed,5.0,4,Yes,Citizen follow-up received
SR-0373,2026-06-21,San Francisco,Permits/Inquiry,Web Form,Low,Closed,25.9,4,Yes,Citizen follow-up received
SR-0374,2026-02-08,Marauoy,Permits/Inquiry,Web Form,High,Closed,12.0,5,No,
SR-0375,2026-07-03,Lodlod,Streetlight,Walk-in,Urgent,Closed,12.0,4,No,Requires site validation
SR-0376,2026-06-18,Pangao,Solid Waste,Web Form,High,Pending Validation,15.1,,Yes,
SR-0377,2026-01-19,Poblacion Barangay 2,Permits/Inquiry,Mobile App,Normal,Pending Validation,18.5,,No,Requires site validation
SR-0378,2026-04-22,Bulacnin,Streetlight,Mobile App,Normal,Closed,26.4,4,Yes,Citizen follow-up received
SR-0379,2026-08-31,Sapac,Streetlight,Walk-in,Normal,Pending Validation,43.8,,No,Forwarded to concerned office
SR-0380,2026-05-25,Bugtong na Pulo,Peace and Order,Web Form,High,Closed,4.3,5,No,Forwarded to concerned office
SR-0381,2026-04-27,Banaybanay,Solid Waste,Web Form,Normal,Closed,26.2,4,No,Requires site validation
SR-0382,2026-02-22,Pagolingin West,Streetlight,Mobile App,Urgent,Closed,16.0,3,No,Citizen follow-up received
SR-0383,2026-05-17,San Salvador,Disaster Concern,Hotline,Normal,Closed,20.7,4,Yes,
SR-0384,2026-02-07,San Carlos,Streetlight,Web Form,Normal,Closed,3.7,5,No,Requires site validation
SR-0385,2026-07-18,Mabini,Solid Waste,Hotline,Urgent,Closed,2.1,4,No,
SR-0386,2026-05-20,Balintawak,Peace and Order,Web Form,Normal,Closed,12.6,5,No,Requires site validation
SR-0387,2026-02-26,Inosloban,Disaster Concern,Hotline,Urgent,Pending Validation,8.9,,Yes,Forwarded to concerned office
SR-0388,2026-08-23,Cumba,Peace and Order,Hotline,High,Closed,17.6,5,No,Citizen follow-up received
SR-0389,2026-05-11,San Lucas,Peace and Order,Walk-in,Normal,Closed,46.8,3,Yes,
SR-0390,2026-08-22,Lodlod,Water,Web Form,Urgent,Closed,4.8,4,No,Requires site validation
SR-0391,2026-05-15,Poblacion Barangay 4,Permits/Inquiry,Walk-in,Urgent,Pending Validation,15.7,,No,Citizen follow-up received
SR-0392,2026-06-12,Pusil,Streetlight,Walk-in,Normal,Closed,16.7,4,Yes,Requires site validation
SR-0393,2026-08-01,Sabang,Permits/Inquiry,Web Form,Normal,Closed,12.4,4,No,
SR-0394,2026-09-20,Pangao,Permits/Inquiry,Hotline,Normal,Closed,11.9,5,No,Citizen follow-up received
SR-0395,2026-08-10,Calamias,Peace and Order,Hotline,Normal,Closed,48.5,4,No,
SR-0396,2026-08-21,Pagolingin West,Peace and Order,Walk-in,Normal,Closed,20.3,3,No,
SR-0397,2026-04-06,Mabini,Disaster Concern,Walk-in,Normal,Closed,28.7,5,No,
SR-0398,2026-01-10,Marauoy,Health,Walk-in,High,Closed,14.0,4,No,Requires site validation
SR-0399,2026-03-05,San Carlos,Water,Walk-in,Normal,Closed,7.2,4,No,
SR-0400,2026-02-04,Bugtong na Pulo,Water,Walk-in,High,Closed,9.2,4,No,Citizen follow-up received
SR-0401,2026-07-02,Sabang,Streetlight,Mobile App,Normal,Closed,67.3,5,No,
SR-0402,2026-04-21,Balintawak,Streetlight,Web Form,Normal,In Progress,49.2,,No,Forwarded to concerned office
SR-0403,2026-02-10,Kayumanggi,Peace and Order,Mobile App,Normal,Closed,35.2,5,No,Forwarded to concerned office
SR-0404,2026-05-10,Quezon,Peace and Order,Walk-in,Normal,Closed,36.3,4,No,Citizen follow-up received
SR-0405,2026-05-06,Lodlod,Solid Waste,Walk-in,High,Closed,10.0,5,No,Requires site validation
SR-0406,2026-06-15,Poblacion Barangay 6,Streetlight,Mobile App,Normal,Closed,8.0,4,No,
SR-0407,2026-05-13,Balintawak,Streetlight,Hotline,Low,Closed,45.3,3,No,
SR-0408,2026-06-05,Banaybanay,Permits/Inquiry,Mobile App,High,Closed,10.3,4,No,Requires site validation
SR-0409,2026-02-25,Balintawak,Solid Waste,Walk-in,Normal,Closed,35.4,5,No,Citizen follow-up received
SR-0410,2026-07-22,Pangao,Peace and Order,Walk-in,Urgent,Closed,13.3,5,No,Citizen follow-up received
SR-0411,2026-06-11,Sapac,Peace and Order,Mobile App,Normal,Closed,16.2,4,No,Forwarded to concerned office
SR-0412,2026-04-21,Sabang,Peace and Order,Walk-in,High,Closed,17.0,5,No,Forwarded to concerned office
SR-0413,2026-07-20,San Lucas,Disaster Concern,Barangay Referral,Normal,Closed,7.8,5,No,
SR-0414,2026-02-06,Sampaguita,Permits/Inquiry,Hotline,Normal,Closed,56.9,4,No,Requires site validation
SR-0415,2026-02-01,Pinagtongulan,Permits/Inquiry,Hotline,High,Closed,6.8,3,Yes,Requires site validation
SR-0416,2026-02-08,San Benito,Peace and Order,Web Form,Normal,Closed,31.6,4,No,Requires site validation
SR-0417,2026-02-28,Banaybanay,Road/Drainage,Walk-in,High,Closed,9.0,3,Yes,Citizen follow-up received
SR-0418,2026-03-20,Kayumanggi,Health,Hotline,Normal,In Progress,8.4,,Yes,Forwarded to concerned office
SR-0419,2026-05-14,Bolbok,Solid Waste,Hotline,Urgent,Closed,8.7,3,Yes,Forwarded to concerned office
SR-0420,2026-03-18,Tambo,Disaster Concern,Hotline,High,Closed,3.4,4,Yes,
SR-0421,2026-05-21,San Jose,Permits/Inquiry,Walk-in,High,Closed,4.3,4,Yes,
SR-0422,2026-08-19,Banaybanay,Disaster Concern,Web Form,Normal,Closed,7.4,3,No,
SR-0423,2026-04-04,Anilao-Labac,Health,Mobile App,Normal,In Progress,24.6,,No,Requires site validation
SR-0424,2026-06-05,Tambo,Permits/Inquiry,Barangay Referral,Normal,Closed,43.4,5,No,Requires site validation
SR-0425,2026-07-16,Banaybanay,Solid Waste,Barangay Referral,High,In Progress,12.6,,No,Requires site validation
SR-0426,2026-02-26,Sico,Streetlight,Hotline,High,Closed,16.1,5,No,
SR-0427,2026-03-07,Marauoy,Peace and Order,Web Form,Normal,Closed,10.7,3,Yes,
SR-0428,2026-01-17,Anilao-Labac,Permits/Inquiry,Mobile App,Normal,Closed,39.5,4,Yes,Citizen follow-up received
SR-0429,2026-06-15,San Salvador,Road/Drainage,Hotline,Low,In Progress,22.8,,No,Citizen follow-up received
SR-0430,2026-05-23,Tanguay,Disaster Concern,Walk-in,Normal,Closed,2.8,4,No,
SR-0431,2026-08-23,Balintawak,Solid Waste,Web Form,High,Closed,4.1,5,No,Forwarded to concerned office
SR-0432,2026-01-04,Anilao,Disaster Concern,Hotline,Normal,Closed,29.4,5,No,
SR-0433,2026-04-27,Inosloban,Disaster Concern,Hotline,Normal,Closed,55.1,3,Yes,Forwarded to concerned office
SR-0434,2026-03-29,Bagong Pook,Road/Drainage,Mobile App,Normal,Closed,36.3,5,No,Requires site validation
SR-0435,2026-03-10,Pangao,Disaster Concern,Web Form,Normal,Closed,23.1,5,Yes,
SR-0436,2026-01-11,Plaridel,Health,Walk-in,Normal,Closed,44.6,4,No,Forwarded to concerned office
SR-0437,2026-07-07,Lodlod,Health,Walk-in,High,In Progress,4.9,,Yes,Citizen follow-up received
SR-0438,2026-04-09,Tambo,Streetlight,Barangay Referral,Normal,In Progress,39.1,,No,Forwarded to concerned office
SR-0439,2026-02-14,Antipolo Del Norte,Peace and Order,Mobile App,Normal,Closed,24.4,5,No,Citizen follow-up received
SR-0440,2026-06-19,San Francisco,Peace and Order,Mobile App,High,In Progress,14.8,,Yes,Citizen follow-up received
SR-0441,2026-04-05,Balintawak,Permits/Inquiry,Hotline,Normal,Closed,26.4,4,Yes,Forwarded to concerned office
SR-0442,2026-04-22,Balintawak,Solid Waste,Web Form,Normal,Closed,6.9,5,No,Requires site validation
SR-0443,2026-03-02,Tangob,Peace and Order,Barangay Referral,Normal,In Progress,33.3,,Yes,Forwarded to concerned office
SR-0444,2026-01-08,Anilao,Water,Web Form,Normal,Closed,7.2,4,No,
SR-0445,2026-09-07,Pinagtongulan,Disaster Concern,Walk-in,Normal,In Progress,17.4,,No,Forwarded to concerned office
SR-0446,2026-05-26,Plaridel,Streetlight,Web Form,High,Closed,4.8,4,No,Forwarded to concerned office
SR-0447,2026-07-02,Banaybanay,Solid Waste,Web Form,Low,Pending Validation,14.8,,No,Citizen follow-up received
SR-0448,2026-04-28,Rizal,Streetlight,Mobile App,Low,Closed,32.1,5,Yes,Requires site validation
SR-0449,2026-04-04,Poblacion Barangay 1,Health,Mobile App,Normal,Closed,54.8,4,No,
SR-0450,2026-06-16,San Salvador,Peace and Order,Hotline,Normal,In Progress,26.8,,No,
SR-0451,2026-08-11,Inosloban,Health,Hotline,High,Closed,15.9,5,Yes,Citizen follow-up received
SR-0452,2026-05-24,Sabang,Peace and Order,Hotline,Urgent,Closed,7.3,4,Yes,Forwarded to concerned office
SR-0453,2026-08-18,Quezon,Streetlight,Web Form,Normal,Closed,24.6,5,Yes,
SR-0454,2026-02-17,Cumba,Water,Mobile App,Normal,Pending Validation,22.5,,No,Citizen follow-up received
SR-0455,2026-01-23,Mabini,Road/Drainage,Web Form,Normal,Closed,53.4,4,Yes,
SR-0456,2026-04-27,Banaybanay,Streetlight,Walk-in,High,Closed,17.0,4,No,Forwarded to concerned office
SR-0457,2026-09-01,Lumbang,Water,Mobile App,High,Closed,12.9,4,Yes,
SR-0458,2026-07-10,Pinagkawitan,Water,Hotline,Urgent,Closed,9.0,5,No,Forwarded to concerned office
SR-0459,2026-05-12,Pinagkawitan,Permits/Inquiry,Web Form,High,Closed,2.9,4,Yes,Requires site validation
SR-0460,2026-07-31,Bulacnin,Peace and Order,Mobile App,Normal,Closed,46.2,3,No,
SR-0461,2026-05-14,Munting Pulo,Health,Walk-in,Normal,Pending Validation,30.3,,No,Forwarded to concerned office
SR-0462,2026-01-25,Inosloban,Streetlight,Barangay Referral,Low,Closed,24.3,5,Yes,Requires site validation
SR-0463,2026-02-17,Tambo,Disaster Concern,Barangay Referral,Low,Closed,30.2,4,No,Citizen follow-up received
SR-0464,2026-05-20,Santo Toribio,Water,Hotline,Normal,Closed,13.5,5,No,Citizen follow-up received
SR-0465,2026-04-21,Tambo,Health,Web Form,Low,Closed,14.3,4,No,Citizen follow-up received
SR-0466,2026-08-09,San Sebastian,Health,Walk-in,Low,Closed,16.3,4,Yes,
SR-0467,2026-01-05,San Celestino,Peace and Order,Hotline,Normal,In Progress,22.5,,No,Forwarded to concerned office
SR-0468,2026-02-15,Plaridel,Water,Walk-in,High,Closed,4.5,5,No,Forwarded to concerned office
SR-0469,2026-05-04,Anilao,Health,Hotline,Urgent,Closed,15.1,5,No,Requires site validation
SR-0470,2026-08-10,Lodlod,Health,Walk-in,Normal,Closed,16.1,5,Yes,Requires site validation
SR-0471,2026-01-28,Inosloban,Solid Waste,Hotline,Normal,Closed,42.5,5,No,Forwarded to concerned office
SR-0472,2026-04-26,Anilao,Disaster Concern,Web Form,Low,Closed,14.6,3,No,Requires site validation
SR-0473,2026-07-30,Lodlod,Health,Hotline,Normal,Closed,23.5,4,Yes,Citizen follow-up received
SR-0474,2026-03-05,San Celestino,Permits/Inquiry,Barangay Referral,Normal,Closed,35.2,5,No,Requires site validation
SR-0475,2026-05-22,Pinagkawitan,Water,Walk-in,High,Closed,2.2,3,No,
SR-0476,2026-01-13,San Celestino,Solid Waste,Barangay Referral,Normal,Closed,51.8,3,Yes,Forwarded to concerned office
SR-0477,2026-03-07,Bugtong na Pulo,Streetlight,Web Form,Low,Closed,18.7,4,No,Requires site validation
SR-0478,2026-05-19,Sapac,Streetlight,Walk-in,Normal,Closed,19.0,4,No,
SR-0479,2026-02-24,Sico,Health,Barangay Referral,Normal,Closed,25.4,4,No,Forwarded to concerned office
SR-0480,2026-02-07,Talisay,Solid Waste,Mobile App,Normal,Closed,12.1,5,No,Citizen follow-up received
SR-0481,2026-05-31,Bolbok,Disaster Concern,Barangay Referral,Normal,In Progress,7.0,,No,Citizen follow-up received
SR-0482,2026-09-08,Inosloban,Road/Drainage,Web Form,Urgent,In Progress,3.4,,No,Citizen follow-up received
SR-0483,2026-04-30,Pangao,Permits/Inquiry,Walk-in,High,In Progress,14.9,,No,Forwarded to concerned office
SR-0484,2026-08-17,Bagong Pook,Water,Walk-in,High,Closed,14.3,5,No,Citizen follow-up received
SR-0485,2026-03-29,Cumba,Water,Mobile App,High,Closed,15.9,5,No,
SR-0486,2026-03-09,Balintawak,Solid Waste,Hotline,Normal,Closed,24.0,5,No,Requires site validation
SR-0487,2026-03-17,Poblacion Barangay 10,Permits/Inquiry,Barangay Referral,Normal,Pending Validation,36.4,,No,Requires site validation
SR-0488,2026-01-29,Anilao,Streetlight,Mobile App,Low,Closed,39.7,5,No,Requires site validation
SR-0489,2026-03-18,Anilao-Labac,Peace and Order,Hotline,High,Closed,16.4,4,Yes,Forwarded to concerned office
SR-0490,2026-05-18,Sico,Permits/Inquiry,Web Form,Normal,Closed,32.5,3,No,Requires site validation
SR-0491,2026-08-10,Sabang,Solid Waste,Walk-in,Normal,Pending Validation,13.9,,No,Citizen follow-up received
SR-0492,2026-08-08,Tibig,Solid Waste,Walk-in,Normal,In Progress,7.4,,No,
SR-0493,2026-04-23,Sampaguita,Disaster Concern,Web Form,Low,Closed,26.1,4,No,Forwarded to concerned office
SR-0494,2026-06-28,Balintawak,Permits/Inquiry,Walk-in,Normal,Closed,24.8,5,No,
SR-0495,2026-05-02,Sabang,Permits/Inquiry,Hotline,Normal,Closed,32.0,5,No,Citizen follow-up received
SR-0496,2026-09-16,Mabini,Peace and Order,Mobile App,Normal,Closed,13.1,5,Yes,
SR-0497,2026-04-03,Sabang,Water,Mobile App,Normal,Closed,50.3,5,No,Citizen follow-up received
SR-0498,2026-03-23,Bulacnin,Health,Walk-in,Normal,Closed,8.6,3,No,
SR-0499,2026-07-20,Banaybanay,Solid Waste,Web Form,Normal,Pending Validation,17.5,,Yes,Citizen follow-up received
SR-0500,2026-01-14,Balintawak,Water,Web Form,Normal,Closed,14.7,5,No,Requires site validation
SR-0501,2026-08-22,Tanguay,Water,Barangay Referral,High,In Progress,7.1,,No,Requires site validation
SR-0502,2026-05-30,Banaybanay,Solid Waste,Web Form,Normal,Closed,8.8,4,No,Citizen follow-up received
